x,y
0,-71.218
2,-34.76900013
4,-55.37212903
6,-38.3383867
8,-62.19077315
10,-30.22528837
12,-49.79793236
14,-61.45570512
16,-47.07960665
18,-54.73263696
20,-53.47279604
22,-30.24108389
24,-26.45750051
26,-3.743045902
28,-2.778720069
30,-31.50152301
32,-7.964454718
34,-3.019515201
36,-38.38270446
38,-37.42102248
40,-14.27546928
42,-20.85304485
44,-14.2137492
46,-25.02658231
48,2.005455799
50,-5.974634861
52,-19.53785429
54,-1.322202497
56,18.98532053
58,12.67171478
60,23.28598026
62,15.77111697
64,8.999124901
66,5.358004064
68,-16.59524554
70,17.96637607
72,-2.883131079
74,-11.020767
76,37.3814683
78,39.76357483
80,34.89055259
82,3.842401574
84,-1.362878212
86,7.69571323
88,14.7761759
90,37.0255098
92,35.03871492
94,40.33679128
96,36.30473886
98,43.16655767
100,28.68624771
102,32.36680897
104,33.11124146
106,50.15554518
108,18.79072013
110,15.65676631
112,45.21768371
114,38.20147235
116,45.08213221
118,58.4526633
120,26.73106561
122,54.66633916
124,28.09048393
126,28.88649993
128,56.18038716
130,49.89014561
132,29.81077529
134,68.48927621
136,64.56564834
138,26.27389171
140,42.82200631
142,57.58399213
144,32.78784918
146,60.49057746
148,59.21517696
150,38.4936477
152,40.49698966
154,79.47120285
156,49.74428727
158,55.10824292
160,60.00006979
162,77.01976789
164,84.35733722
166,59.47177778
168,78.61508956
170,82.00427258
172,61.81232682
174,64.86025229
176,46.99904898
178,58.43171691
180,82.97825606
182,50.81366644
184,56.48994805
186,52.85810089
188,64.91112495
190,66.48002024
192,55.74178676
194,54.76142451
196,55.89393348
198,45.22131369
200,66.88856512
202,67.13268778
204,55.16268167
206,70.40554678
208,83.91428312
210,86.7648907
212,86.65936949
214,69.27471952
216,83.30394078
218,50.86003326
220,96.26399697
222,85.11883191
224,52.66053807
226,51.61411547
228,83.93256409
230,60.23188394
232,52.85407501
234,95.38613732
236,64.48207085
238,76.48387561
240,93.1685516
242,72.47909882
244,54.97051727
246,90.48280694
248,67.72596784
250,62.40599997
252,97.07890332
254,88.93567791
256,95.40032372
258,54.26884076
260,64.87722903
262,56.12248852
264,73.26261925
266,79.0286212
268,94.95449438
270,70.72023879
272,81.94385442
274,49.30534128
276,72.69169938
278,83.71292869
280,70.16702924
282,83.59400102
284,78.22384402
286,85.89755825
288,64.39214371
290,60.72660039
292,80.32192831
294,48.66312745
296,92.17419782
298,72.56413942
300,65.81195224
302,68.2706363
304,58.37919158
306,76.46961809
308,66.81991582
310,49.54908479
312,71.79312498
314,56.3050364
316,64.33181905
318,44.25647293
320,69.15399803
322,43.67239436
324,64.35066192
326,52.74780071
328,76.56581073
330,66.07269197
332,74.81944444
334,55.04506814
336,52.19356307
338,82.86892923
340,56.44216661
342,53.75527522
344,80.41625506
346,67.84010613
348,76.47082842
350,55.84142194
352,39.9618867
354,28.67322267
356,67.13442988
358,37.02850831
360,68.30745798
362,24.98327887
364,37.08097098
366,53.10553433
368,34.7269689
370,26.67827471
372,42.09845173
374,40.79849999
376,63.26841948
378,23.09521019
380,41.37587213
382,31.4234053
384,19.7938097
386,12.83608532
388,31.22323217
390,47.01125025
392,20.38913956
394,27.6079001
396,48.29753186
398,54.65403485
400,12.69340907
402,16.61265452
404,33.4997712
406,9.449759101
408,16.29161823
410,41.69434859
412,31.64495018
414,45.69042299
416,18.78976704
418,21.46698231
420,-0.515931195
422,7.248026532
424,19.27385549
426,-5.358444332
428,-2.346872921
430,-1.669430283
432,12.38688358
434,22.37006868
436,-12.162875
438,7.947052548
440,-5.283148675
442,-12.12047867
444,-6.868937436
446,10.12747502
448,-25.66924129
450,11.19591363
452,-13.19506022
454,11.59483715
456,-22.23439425
458,-26.69975442
460,-1.740243367
462,-13.71286108
464,-31.69460757
466,-6.470482831
468,1.973513137
470,-10.40661967
472,-14.92788124
474,-50.92627159
476,-7.781790713
478,-46.87443861
480,-9.302215271
482,-37.23712071
484,-33.40515492
486,-48.7283179
488,-48.25460965
490,-20.83203018
492,-55.27857947
494,-20.73325754
496,-31.54806439
498,-59.117
